REALTOR,PROPERTYNAME,AVAILABILITY,TYPE,DESCRIPTION,PRICE,BEDROOMS,BATHROOMS,DIMENSIONS,ADDRESS,IMAGE
Ahmed,Palm Heights,Sale,Apartment,"A stylish and modern 2-bedroom apartment located in the heart of the city. This property features a spacious living area, open-plan kitchen with contemporary finishes, two full bathrooms, and a private balcony with skyline views. Ideal for professionals or small families.",48000,2,2,1200,"Al Khuwair, Muscat",https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Salma,Sapphire Villa,Rent,House,"A luxurious 4-bedroom villa with a landscaped garden, large terrace, and covered parking. Includes a spacious living room, formal dining area, modern kitchen with island, and ensuite master bedroom. Perfect for families seeking comfort and space in a prestigious neighborhood.",900,4,3,2500,"Shatti Al Qurum, Muscat",https://images.pexels.com/photos/106399/pexels-photo-106399.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Yousuf,Oasis Residency,Sale,Apartment,"A premium 3-bedroom apartment within a gated community offering amenities such as a swimming pool, gym, and concierge services. Features a bright interior, fully fitted kitchen, two bathrooms, and a secure underground parking bay. Walking distance to shops and the beach.",62000,3,2,1600,"Al Mouj, Muscat",https://images.pexels.com/photos/271624/pexels-photo-271624.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Fatma,Seaview Heights,Sale,Apartment,"A stunning beach-facing apartment offering panoramic sea views, floor-to-ceiling windows, and modern interiors. This 2-bedroom unit comes with high-end appliances, open-plan living space, and direct beach access. Perfect for seaside living.",75000,2,2,1450,"Qantab, Muscat",https://images.pexels.com/photos/1918291/pexels-photo-1918291.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Hamed,Coral Villas,Rent,House,"Fully furnished 3-bedroom villa featuring an open layout, sleek kitchen, maid’s room, and private patio area. Situated in a quiet, family-friendly community with close proximity to international schools and parks.
",850,3,3,2000,"Al Hail South, Muscat",https://images.pexels.com/photos/186077/pexels-photo-186077.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Aisha,Business Tower,Rent,Commercial,"A state-of-the-art office unit located in the city's primary business district. Features modern fittings, private meeting rooms, high-speed internet wiring, and security access. Ideal for startups or growing companies.
",1200,0,1,1800,"Ruwi, Muscat",https://images.pexels.com/photos/380768/pexels-photo-380768.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Tariq,Desert Rose Heights,Sale,Apartment,"A contemporary 1-bedroom apartment in a newly developed complex, featuring an open kitchen-living layout, a walk-in closet, and balcony. Ideal for first-time buyers or as an investment opportunity.
",39000,1,1,950,"Al Khoud, Muscat",https://images.pexels.com/photos/1571468/pexels-photo-1571468.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Layla,The Ridge House,Sale,House,"This 4-bedroom family home boasts spacious rooms, modern bathrooms, a large outdoor area, and an indoor majlis. Includes a covered garage and is close to local amenities and public transport.
",68000,4,3,2300,"Amerat, Muscat",https://images.pexels.com/photos/1396122/pexels-photo-1396122.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Omar,Marina Breeze,Rent,Apartment,"A furnished 2-bedroom apartment overlooking the marina, featuring large windows, an open-plan layout, and elegant furnishings. Amenities include a pool, fitness center, and 24-hour security.
",650,2,2,1300,"Al Mouj Marina, Muscat",https://images.pexels.com/photos/275484/pexels-photo-275484.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Rania,WestPoint Offices,Rent,Commercial,"Flexible open-plan commercial space in a newly developed building. Ideal for co-working, retail, or creative agencies. Includes pantry space, two washrooms, and elevator access.
",1100,0,2,2200,Ghala. Muscat,https://images.pexels.com/photos/380769/pexels-photo-380769.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
